Volcano Name,Last Eruption,Volcanic Province,Primary Landform,Volcanoe Types,lat,lng,test1,test2,testconcat
Apaneca Range,Unknown - Evidence Credible,Central America Volcanic Arc,Composite,Holocene Volcanoes,13.91599909,-89.71765403,13.92,-89.72,"[13.9159990944554,-89.7176540274245]"
Apastepeque Field,Unknown - Evidence Credible,Central America Volcanic Arc,Cluster,Holocene Volcanoes,13.71662484,-88.76756827,13.72,-88.77,"[13.7166248444442,-88.7675682726311]"
Laguna Aramuaca,Unknown - Evidence Credible,Central America Volcanic Arc,Minor,Holocene Volcanoes,13.43068515,-88.10547668,13.43,-88.11,"[13.4306851456414,-88.1054766803475]"
Chinameca,Unknown - Evidence Credible,Central America Volcanic Arc,Composite,Holocene Volcanoes,13.5142904,-88.35175042,13.51,-88.35,"[13.5142904008229,-88.3517504186934]"
Chingo,Unknown - Evidence Credible,Central America Volcanic Arc,Composite,Holocene Volcanoes,13.35400908,-88.90685215,13.35,-88.91,"[13.3540090837122,-88.9068521506733]"
Cerro Cinotepeque,Unknown - Evidence Credible,Central America Volcanic Arc,Cluster,Holocene Volcanoes,14.00741592,-89.245545,14.01,-89.25,"[14.0074159243629,-89.2455450026661]"
Coatepeque Caldera,Unknown - Evidence Credible,Central America Volcanic Arc,Caldera,Holocene Volcanoes,13.86519981,-89.5513963,13.87,-89.55,"[13.8651998080826,-89.551396299815]"
Guazapa,Unknown - Evidence Uncertain,Central America Volcanic Arc,Composite,Holocene Volcanoes,13.87594712,-89.17291275,13.88,-89.17,"[13.875947115681,-89.1729127492963]"
Ilopango,1880 CE,Central America Volcanic Arc,Caldera,Holocene Volcanoes,13.69265701,-89.113932,13.69,-89.11,"[13.6926570060139,-89.113932001128]"
Izalco,1966 CE,Central America Volcanic Arc,Composite,Holocene Volcanoes,13.74296948,-89.6800233,13.74,-89.68,"[13.7429694795558,-89.6800232993246]"
San Diego,Unknown - Evidence Credible,Central America Volcanic Arc,Cluster,Holocene Volcanoes,14.27291279,-89.48115205,14.27,-89.48,"[14.272912789825,-89.48115205356]"
San Miguel,2023 CE,Central America Volcanic Arc,Composite,Holocene Volcanoes,13.43241718,-88.27953262,13.43,-88.28,"[13.4324171836094,-88.2795326235147]"
San Salvador,1917 CE,Central America Volcanic Arc,Composite,Holocene Volcanoes,13.7371754,-89.28814184,13.74,-89.29,"[13.7371753962997,-89.288141840287]"
San Vicente,Unknown - Evidence Credible,Central America Volcanic Arc,Composite,Holocene Volcanoes,13.59987744,-88.85196271,13.60,-88.85,"[13.5998774418872,-88.8519627053224]"
Santa Ana,2005 CE,Central America Volcanic Arc,Composite,Holocene Volcanoes,13.84870783,-89.62940154,13.85,-89.63,"[13.8487078343717,-89.6294015351269]"
Cerro Singuil,Unknown - Evidence Credible,Central America Volcanic Arc,Cluster,Holocene Volcanoes,14.054224,-89.63113729,14.05,-89.63,"[14.0542240027779,-89.6311372883004]"
Taburete,Unknown - Evidence Uncertain,Central America Volcanic Arc,Composite,Holocene Volcanoes,13.43704778,-88.5317884,13.44,-88.53,"[13.4370477795608,-88.5317883983214]"
Tecapa,Unknown - Evidence Credible,Central America Volcanic Arc,Composite,Holocene Volcanoes,13.48252413,-88.51366028,13.48,-88.51,"[13.4825241275065,-88.5136602834076]"
El Tigre,Unknown - Evidence Credible,Central America Volcanic Arc,Composite,Holocene Volcanoes,13.27475262,-87.63730222,13.27,-87.64,"[13.2747526187345,-87.6373022163312]"
Usulutan,Unknown - Evidence Credible,Central America Volcanic Arc,Composite,Holocene Volcanoes,13.4168792,-88.47161299,13.42,-88.47,"[13.4168791989183,-88.4716129908494]"
Cerro Buena Vista,Unknown,Central America Volcanic Arc,Composite,Pleistocene ,9.554274396,-83.75822575,9.55,-83.76,"[9.55427439611084,-83.7582257499819]"
Cerro Cacahuatique,Unknown,Central America Volcanic Arc,Composite,Pleistocene ,13.76658287,-88.21808296,13.77,-88.22,"[13.7665828700999,-88.2180829566982]"
Conchagua,Unknown,Central America Volcanic Arc,Composite,Pleistocene ,13.30637882,-87.8679657,13.31,-87.87,"[13.3063788177536,-87.8679657031971]"
Conchaguita,Unknown,Central America Volcanic Arc,Composite,Pleistocene ,13.23362089,-87.76643878,13.23,-87.77,"[13.2336208854552,-87.7664387840912]"
Los Limones Volcanic Field,Unknown,Central America Volcanic Arc,Minor,Pleistocene ,13.4131659,-88.16027682,13.41,-88.16,"[13.413165901198,-88.160276819128]"
Cerro Lolotique,Unknown,Central America Volcanic Arc,Unknown,Pleistocene ,13.55698757,-88.35415183,13.56,-88.35,"[13.5569875708396,-88.3541518282232]"
Masahuat Volcanic Field,Unknown,Central America Volcanic Arc,Composite,Pleistocene ,14.18798492,-89.42953146,14.19,-89.43,"[14.1879849159497,-89.4295314567452]"
Isla Meanguera,Unknown,Central America Volcanic Arc,Composite,Pleistocene ,13.19970707,-87.71537959,13.20,-87.72,"[13.1997070728421,-87.7153795904082]"
Cerro las Tablas,Unknown,Central America Volcanic Arc,Composite,Pleistocene ,13.99944366,-88.68500043,14.00,-88.69,"[13.9994436560842,-88.6850004323246]"
Cerro Yayantique,Unknown,Central America Volcanic Arc,Composite,Pleistocene ,13.43459289,-88.00130268,13.43,-88.00,"[13.4345928907446,-88.0013026773671]"
Isla Zacatillo,Unknown,Central America Volcanic Arc,Minor,Pleistocene ,13.30566178,-87.76074175,13.31,-87.76,"[13.3056617840446,-87.7607417532997]"
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
